INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17111', 'Переговорная 26-24 (РСВ)', 'A1', 'Не найден', 'Суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GL17565', 'Сканировщики', 'A1', 'Отправлен в архив', 'ТРАСТ', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GL17566', 'Неколлекшн архивариус', 'A1', 'Изъят', 'ТРАСТ', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GL17567', 'Неколлекшн архивариус', 'A1', 'Отправлен в архив', 'Суды', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GL17568', 'Переговорная 26-23 (ОНЗ)', 'A1', 'Не найден', 'КАСКО', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GL17569', 'Переговорная 26-22 (1 ряд)', 'A1', 'Доступен', 'ФССП', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GL17570', 'Переговорная 26-22 (1 ряд)', 'A1', 'Не найден', 'Клиентское письмо', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GL17571', 'Дежурные', 'A1', 'Доступен', 'АТБ', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17111', 'Переговорная 26-22 (4 ряд)', 'A1', 'Не найден', 'Толстые суды', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17112', 'Архивариус', 'A1', 'Доступен', 'Розыск с возвратом', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17113', 'Переговорная 26-24 (право)', 'A1', 'Доступен', 'АТБ', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17114', 'Переговорная 26-23 (утиль)', 'A1', 'Не найден', 'Связной', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17115', 'Переговорная 26-23 (утиль)', 'A1', 'Доступен', 'Розыск счетов', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17116', 'Сверка (Левая)', 'A1', 'Не найден', 'Связной', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17231', 'Переговорная 26-22 (2 ряд)', 'A1', 'Отправлен в архив', 'Неколлекшн', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17232', 'Открытые', 'A1', 'Доступен', 'Связной', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17233', 'Сверка (Правая)', 'A1', 'Изъят', 'ТКС Агенты', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17234', 'КП Феникс', 'A1', 'Не найден', 'ОТП', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17235', 'Неколлекшн архивариус', 'A1', 'Отправлен в архив', 'УО_почта', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17236', 'Переговорная 26-23 (ОНЗ)', 'A1', 'Не найден', 'ОТП', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17237', 'Дежурные', 'A1', 'Отправлен в архив', 'АТБ', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17238', 'Переговорная 26-24 (неколлекшн)', 'A1', 'Изъят', 'Клиентское письмо', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17239', 'Приоритет для архивариуса', 'A1', 'Изъят', 'Толстые суды', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17561', 'Сверка (Левая)', 'A1', 'Не найден', 'Розыск счетов', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17562', 'Переговорная 26-24 (право)', 'A1', 'Не найден', 'Клиентское письмо', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17563', 'Неколлекшн архивариус', 'A1', 'Изъят', 'ТРАСТ', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17564', 'Переговорная 26-24 (РСВ)', 'A1', 'Не найден', 'Розыск счетов', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17565', 'Переговорная 26-22 (1 ряд)', 'A1', 'Изъят', 'Клиентское письмо', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17566', 'Переговорная 26-23 (утиль)', 'A1', 'Доступен', 'Розыск счетов', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17567', 'Сканировщики', 'A1', 'Изъят', 'Русфинанс банк', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17568', 'Сверка (Контроль качества)', 'A1', 'Отправлен в архив', 'ТКС Агенты', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17569', 'Переговорная 26-22 (4 ряд)', 'A1', 'Не найден', 'Розыск счетов', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17570', 'Сверка (Правая)', 'A1', 'Не найден', 'ТРАСТ', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GM17571', 'Сверка (Правая)', 'A1', 'Отправлен в архив', 'Клиентское письмо', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17111', 'Стеллаж', 'A1', 'Не найден', 'Связной', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17112', 'Переговорная 26-22 (1 ряд)', 'A1', 'Изъят', 'Толстые суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17113', 'Сканировщики', 'A1', 'Не найден', 'Суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17114', 'Неколлекшн архивариус', 'A1', 'Изъят', 'АТБ', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17115', 'Выход (отправка)', 'A1', 'Отправлен в архив', 'Неколлекшн', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17116', 'Поточные', 'A1', 'Доступен', 'Связной', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17231', 'Открытые', 'A1', 'Доступен', 'Неколлекшн', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17232', 'Переговорная 26-22 (2 ряд)', 'A1', 'Доступен', 'Толстые суды', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17233', 'Переговорная 26-24 (РСВ)', 'A1', 'Отправлен в архив', 'Русфинанс банк', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17234', 'Переговорная 26-23 (утиль)', 'A1', 'Доступен', 'УО_почта', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17235', 'Переговорная 26-23 (ОНЗ)', 'A1', 'Доступен', 'ТКС Агенты', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17236', 'Неколлекшн архивариус', 'A1', 'Изъят', 'Связной', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17237', 'Сверка (Правая)', 'A1', 'Изъят', 'Русфинанс банк', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17238', 'Переговорная 26-22 (4 ряд)', 'A1', 'Не найден', 'ФССП', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17239', 'Переговорная 26-22 (1 ряд)', 'A1', 'Изъят', 'КАСКО', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17561', 'Неколлекшн архивариус', 'A1', 'Отправлен в архив', 'Толстые суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17562', 'КП Феникс', 'A1', 'Отправлен в архив', 'Феникс клиентские', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17563', 'Архивариус', 'A1', 'Изъят', 'Суды', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17564', 'Стеллаж', 'A1', 'Не найден', 'ТРАСТ', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17565', 'Приоритет для архивариуса', 'A1', 'Не найден', 'Розыск с возвратом', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17566', 'Переговорная 26-24 (РСВ)', 'A1', 'Доступен', 'Связной', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17567', 'Сканировщики', 'A1', 'Доступен', 'Розыск счетов', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17568', 'Открытые', 'A1', 'Не найден', 'Феникс клиентские', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17569', 'Сканировщики', 'A1', 'Не найден', 'Толстые суды', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17570', 'Открытые', 'A1', 'Доступен', 'Розыск с возвратом', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GN17571', 'Сверка (Контроль качества)', 'A1', 'Отправлен в архив', 'Русфинанс банк', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17111', 'Выход (отправка)', 'A1', 'Доступен', 'Розыск с возвратом', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17112', 'Стеллаж', 'A1', 'Доступен', 'Суды', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17113', 'Сверка (Правая)', 'A1', 'Изъят', 'Феникс клиентские', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17114', 'Переговорная 26-22 (2 ряд)', 'A1', 'Доступен', 'ОТП', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17115', 'Поточные', 'A1', 'Доступен', 'Суды', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17116', 'Стеллаж', 'A1', 'Отправлен в архив', 'Связной', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17231', 'Переговорная 26-22 (4 ряд)', 'A1', 'Изъят', 'Русфинанс банк', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17232', 'Переговорная 26-22 (3 ряд)', 'A1', 'Изъят', 'Неколлекшн', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17233', 'Переговорная 26-22 (4 ряд)', 'A1', 'Доступен', 'АТБ', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17234', 'Переговорная 26-22 (2 ряд)', 'A1', 'Отправлен в архив', 'КАСКО', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17235', 'Переговорная 26-22 (1 ряд)', 'A1', 'Не найден', 'ОТП', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17236', 'Поточные', 'A1', 'Доступен', 'Неколлекшн', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17237', 'Сверка (Правая)', 'A1', 'Доступен', 'Суды', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17238', 'Сверка (Правая)', 'A1', 'Отправлен в архив', 'Связной', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17239', 'Открытые', 'A1', 'Не найден', 'Толстые суды', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17561', 'Дежурные', 'A1', 'Доступен', 'АТБ', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17562', 'Сверка (Правая)', 'A1', 'Изъят', 'Русфинанс банк', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17563', 'Сканировщики', 'A1', 'Не найден', 'ОТП', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17564', 'КП Феникс', 'A1', 'Не найден', 'Толстые суды', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17565', 'Дежурные', 'A1', 'Отправлен в архив', 'Неколлекшн', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17566', 'Выход (отправка)', 'A1', 'Не найден', 'ОТП', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17567', 'Переговорная 26-22 (3 ряд)', 'A1', 'Доступен', 'ОТП', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17568', 'Сверка (Левая)', 'A1', 'Изъят', 'УО_почта', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17569', 'Сверка (Правая)', 'A1', 'Доступен', 'Розыск с возвратом', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17570', 'Поточные', 'A1', 'Отправлен в архив', 'Неколлекшн', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GO17571', 'Переговорная 26-23 (ОНЗ)', 'A1', 'Отправлен в архив', 'ТРАСТ', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17111', 'Сверка (Контроль качества)', 'A1', 'Изъят', 'Толстые суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17112', 'Дежурные', 'A1', 'Не найден', 'Розыск счетов', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17113', 'Переговорная 26-23 (утиль)', 'A1', 'Изъят', 'КАСКО', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17114', 'КП Феникс', 'A1', 'Не найден', 'ФССП', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17115', 'Переговорная 26-22 (3 ряд)', 'A1', 'Доступен', 'ТРАСТ', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17116', 'Переговорная 26-23 (утиль)', 'A1', 'Доступен', 'Феникс клиентские', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17231', 'Сверка (Правая)', 'A1', 'Отправлен в архив', 'Толстые суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17232', 'Переговорная 26-22 (2 ряд)', 'A1', 'Отправлен в архив', 'Розыск с возвратом', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17233', 'Переговорная 26-22 (4 ряд)', 'A1', 'Отправлен в архив', 'Толстые суды', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17234', 'Неколлекшн архивариус', 'A1', 'Доступен', 'Связной', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17235', 'Выход (отправка)', 'A1', 'Отправлен в архив', 'УО_почта', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17236', 'Сканировщики', 'A1', 'Отправлен в архив', 'Суды', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17237', 'Переговорная 26-22 (1 ряд)', 'A1', 'Не найден', 'Неколлекшн', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17238', 'Сверка (Левая)', 'A1', 'Доступен', 'ОТП', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17239', 'Переговорная 26-24 (неколлекшн)', 'A1', 'Не найден', 'Суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17561', 'Сканировщики', 'A1', 'Изъят', 'Розыск с возвратом', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17562', 'Приоритет для архивариуса', 'A1', 'Изъят', 'Связной', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17563', 'Переговорная 26-24 (право)', 'A1', 'Не найден', 'Клиентское письмо', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17564', 'Неколлекшн архивариус', 'A1', 'Доступен', 'ФССП', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17565', 'Переговорная 26-22 (1 ряд)', 'A1', 'Изъят', 'ТРАСТ', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17566', 'Приоритет для архивариуса', 'A1', 'Не найден', 'Толстые суды', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17567', 'Переговорная 26-23 (ОНЗ)', 'A1', 'Доступен', 'Толстые суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17568', 'Дежурные', 'A1', 'Изъят', 'Феникс клиентские', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17569', 'Переговорная 26-22 (4 ряд)', 'A1', 'Отправлен в архив', 'Розыск счетов', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17570', 'Переговорная 26-24 (неколлекшн)', 'A1', 'Изъят', 'Феникс клиентские', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GP17571', 'Выход (отправка)', 'A1', 'Не найден', 'Розыск счетов', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17111', 'Переговорная 26-22 (3 ряд)', 'A1', 'Изъят', 'ФССП', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17112', 'Переговорная 26-22 (3 ряд)', 'A1', 'Изъят', 'Толстые суды', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17113', 'Переговорная 26-22 (2 ряд)', 'A1', 'Доступен', 'ТКС Агенты', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17114', 'Неколлекшн архивариус', 'A1', 'Изъят', 'Розыск счетов', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17115', 'Стеллаж', 'A1', 'Не найден', 'Розыск счетов', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17116', 'Переговорная 26-22 (2 ряд)', 'A1', 'Изъят', 'УО_почта', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17231', 'Стеллаж', 'A1', 'Отправлен в архив', 'Неколлекшн', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17232', 'Архивариус', 'A1', 'Доступен', 'Феникс клиентские', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17233', 'Неколлекшн архивариус', 'A1', 'Изъят', 'Клиентское письмо', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17234', 'Открытые', 'A1', 'Отправлен в архив', 'Розыск с возвратом', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17235', 'Неколлекшн архивариус', 'A1', 'Доступен', 'Розыск счетов', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17236', 'Переговорная 26-23 (утиль)', 'A1', 'Изъят', 'ОТП', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17237', 'Переговорная 26-24 (право)', 'A1', 'Доступен', 'АТБ', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17238', 'Переговорная 26-22 (1 ряд)', 'A1', 'Отправлен в архив', 'ОТП', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17239', 'Переговорная 26-22 (2 ряд)', 'A1', 'Отправлен в архив', 'ТКС Агенты', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17561', 'Переговорная 26-23 (ОНЗ)', 'A1', 'Не найден', 'Русфинанс банк', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17562', 'КП Феникс', 'A1', 'Отправлен в архив', 'КАСКО', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17563', 'КП Феникс', 'A1', 'Отправлен в архив', 'Феникс клиентские', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17564', 'Сверка (Правая)', 'A1', 'Доступен', 'Суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17565', 'Переговорная 26-22 (4 ряд)', 'A1', 'Изъят', 'Неколлекшн', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17566', 'КП Феникс', 'A1', 'Отправлен в архив', 'Связной', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17567', 'Приоритет для архивариуса', 'A1', 'Отправлен в архив', 'Клиентское письмо', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17568', 'Переговорная 26-22 (1 ряд)', 'A1', 'Отправлен в архив', 'Феникс клиентские', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17569', 'Приоритет для архивариуса', 'A1', 'Доступен', 'Суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17570', 'Переговорная 26-22 (4 ряд)', 'A1', 'Изъят', 'КАСКО', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GQ17571', 'Сверка (Правая)', 'A1', 'Изъят', 'КАСКО', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GR17111', 'Переговорная 26-22 (2 ряд)', 'A1', 'Доступен', 'УО_почта', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GR17112', 'Переговорная 26-22 (4 ряд)', 'A1', 'Не найден', 'Клиентское письмо', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GR17113', 'Сверка (Контроль качества)', 'A1', 'Не найден', 'ФССП', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GR17114', 'Сверка (Левая)', 'A1', 'Отправлен в архив', 'АТБ', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GR17115', 'Переговорная 26-22 (2 ряд)', 'A1', 'Изъят', 'Феникс клиентские', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('GR17116', 'Архивариус', 'A1', 'Изъят', 'АТБ', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
